hand,equity
AA,85.3
KK,82.4
QQ,79.9
JJ,77.5
TT,75.1
99,72.1
88,69.1
77,66.1
66,63.1
55,60.1
44,57.1
33,54.1
22,51.1
AKs,67.0
AKo,65.4
AQs,66.1
AQo,64.5
AJs,65.3
AJo,63.7
ATs,64.5
ATo,62.9
A9s,62.5
A9o,60.9
A8s,61.5
A8o,59.9
A7s,60.5
A7o,58.9
A6s,59.5
A6o,57.9
A5s,59.9
A5o,58.3
A4s,58.9
A4o,57.3
A3s,58.1
A3o,56.5
A2s,57.3
A2o,55.7
KQs,63.4
KQo,61.8
KJs,62.6
KJo,61.0
KTs,61.8
KTo,60.2
K9s,59.8
K9o,58.2
K8s,58.8
K8o,57.2
K7s,57.8
K7o,56.2
K6s,56.8
K6o,55.2
K5s,56.0
K5o,54.4
K4s,55.2
K4o,53.6
K3s,54.4
K3o,52.8
K2s,53.6
K2o,52.0
QJs,61.0
QJo,59.4
QTs,60.2
QTo,58.6
Q9s,58.2
Q9o,56.6
Q8s,57.2
Q8o,55.6
Q7s,56.2
Q7o,54.6
Q6s,55.2
Q6o,53.6
Q5s,54.4
Q5o,52.8
Q4s,53.6
Q4o,52.0
Q3s,52.8
Q3o,51.2
Q2s,52.0
Q2o,50.4
JTs,58.6
JTo,57.0
J9s,56.6
J9o,55.0
J8s,55.6
J8o,54.0
J7s,54.6
J7o,53.0
J6s,53.6
J6o,52.0
J5s,52.8
J5o,51.2
J4s,52.0
J4o,50.4
J3s,51.2
J3o,49.6
J2s,50.4
J2o,48.8
T9s,56.0
T9o,54.4
T8s,55.0
T8o,53.4
T7s,54.0
T7o,52.4
T6s,53.0
T6o,51.4
T5s,52.2
T5o,50.6
T4s,51.4
T4o,49.8
T3s,50.6
T3o,49.0
T2s,49.8
T2o,48.2
98s,53.4
98o,51.8
97s,52.4
97o,50.8
96s,51.4
96o,49.8
95s,50.6
95o,49.0
94s,49.8
94o,48.2
93s,49.0
93o,47.4
92s,48.2
92o,46.6
87s,51.8
87o,50.2
86s,50.8
86o,49.2
85s,50.0
85o,48.4
84s,49.2
84o,47.6
83s,48.4
83o,46.8
82s,47.6
82o,46.0
76s,50.2
76o,48.6
75s,49.4
75o,47.8
74s,48.6
74o,47.0
73s,47.8
73o,46.2
72s,47.0
72o,45.4
65s,48.6
65o,47.0
64s,47.8
64o,46.2
63s,47.0
63o,45.4
62s,46.2
62o,44.6
54s,47.0
54o,45.4
53s,46.2
53o,44.6
52s,45.4
52o,43.8
43s,45.4
43o,43.8
42s,44.6
42o,43.0
32s,43.8
32o,42.2
